Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"(S)Pielęgniarka w opiece długoterminowej domowej"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Centrum Pielęgnacji Caritas Diecezji Toruńskiej"; "2025-01-30"; 
"(S)psycholog"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Fundacja im. Brata Alberta Dom Pomocy Społecznej"; "2025-02-03"; 
"* Pomocniczy robotnik przemysłowy"; "Starachowice, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "GIEWONT HG Sp. z o. o. Sp. k."; "2025-02-04"; 
"*POMOCNIK MONTERA SIECI WOD-KAN"; "Złoty Stok, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"*PRACOWNIK BIUROWY"; "Ząbkowice Śląskie, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"*SPRZEDAWCA"; "Ząbkowice Śląskie, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"*SPRZEDAWCA"; "Ziębice, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"*TECHNIK OBSŁUGI TURYSTYCZNEJ/INFORMATOR TURYSTYCZNY"; "Bardo, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"1.Monter konstrukcji stalowych 2.Blacharz/dekarz konstrukcji stalowych"; "Orle, pomorskie"; "Umowa o pracę na czas określony"; "DarStal Jacek Walasek"; "2025-01-17"; 
"124 - Asystent kas samoobsługowych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - Asystent kas samoobsługowych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - Asystent kas samoobsługowych - Maratońska"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"124 - Asystent kas samoobsługowych - ul. Beliny-Prażmowskiego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - monter instalacji hydraulicznych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "MARKUS GRUPA INSTALACYJNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"124 - pracownika sklepu wielobranżowego  "; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"128 - Cieśla dachowy"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "BEST HOME Karol Barański"; "2025-01-09"; 
"128 - Cieśla Stolarz"; "Cecylówka-Brzózka, mazowieckie"; "Umowa o pracę na okres próbny"; "JURDOM CIESIELSTWO - STOLARSTWO Jerzy Morawski"; "2025-01-31"; 
"128 - Dekarz dachowy"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "BEST HOME Karol Barański"; "2025-01-09"; 
"128 - Geodeta"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-31"; 
"128 - Malarz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"128 - Murarz"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "BEST HOME Karol Barański"; "2025-01-09"; 
"129 - dyspozytor przewozów międzynarodowych"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBORSTWO KOMUNIKACJI SAMOCHODOWEJ ""RATRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-23"; 
"129 - Magazynier"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"129 - Magazynier - operator wózka widłowego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "GROJSMAX Sp. z o.o."; "2025-02-03"; 
"129 - Mechanik  samochodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-13"; 
"129 - Mechanik (do przyuczenia)"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "BAUDE GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"129 - Mechanik pojazdów osobowych"; "Dąbrowa Kozłowska, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"129 - Spedytor międzynarodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"130 - Automatyk w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"130 - Elektryk w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"130 - Inspektor ds. elektrycznych"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "42. BAZA LOTNICTWA SZKOLNEGO RADOM"; "2025-01-29"; 
"130 - Instalator pomocnik"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-21"; 
"130 - instalator-pracownik serwisu"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Gabriel Kopczyński"; "2025-02-06"; 
"130 - Mechanik maszyn i urządzeń"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE ""RADKOM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"130 - Mechanik w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"130 - Pracownik produkcji"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE ""GASTMED"" skrót nazwy PPUH ""GASTMED"" Jerzy Pacholec"; "2025-01-29"; 
"130 - pracownik telewizyjny / operator kamery"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-12-02"; 
"130 - Specjalista ds. eksploatacji instalacji i urządzeń technicznych"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"130 - Specjalista ds. IT"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"130 - Ślusarz-spawacz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "TECHNIKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"131 - Operator linii produkcyjnej / linii pakowania"; "Jedlińsk, mazowieckie"; "Umowa o pracę na okres próbny"; "UNITED PETFOOD RADOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"131 - Operator maszyn i urządzeń przemysłu spożywczego"; "Stefanowo, mazowieckie"; "Umowa o pracę na czas określony"; "PERSONNEL SERVICE POLSKA SP. Z O.O."; "2025-01-23"; 
"131 - stolarz montażysta meblowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"131 - szwaczka odzieży skórzanej"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-15"; 
"133 - Asystent Działu Handlowego - back office"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-17"; 
"133 - cukiernik"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "P.P.H.U BAKER"; "2025-01-21"; 
"133 - Cukiernik"; "Wacyn, mazowieckie"; "Umowa o pracę na okres próbny"; "PIEKARNIA WACYN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"133 - Ekspedientka STAŻ MAZOWSZE 45+"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"133 - Kasjer Sprzedawca"; "Wolanów, mazowieckie"; "Umowa o pracę na okres próbny"; "STEFAN Przemysław Stefańczyk"; "2025-01-31"; 
"133 - Piekarz"; "Wacyn, mazowieckie"; "Umowa o pracę na okres próbny"; "PIEKARNIA WACYN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"133 - piekarz "; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "P.P.H.U BAKER"; "2025-01-21"; 
"133 - piekarz-cukiernik"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista d/s turystyki"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Z & Z CENTRUM PODRÓŻY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista do spraw marketingu i handlu"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista ds. sprzedaży do działów convenience food oraz produktów s"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-20"; 
"133 - Sprzedawca"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"133 - Sprzedawca"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-05"; 
"133 - Sprzedawca Przedstawiciel handlowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"133 - Sprzedawca w branży spożywczej"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - sprzedawca w sklepie medycznym"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-07"; 
"134 - Ekspedientka"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "ELMAS KRZYŻANOWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"134 - Pracownik fizyczny"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"134 - Pracownik fizyczny"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "FIRMA HANDLOWA ""PROMOCJA"" EWA WRÓBLEWSKA"; "2025-01-31"; 
"134 - Pracownik fizyczny, ładowacz (doposaż stan - Zwalniani 2024)"; "Garno, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-28"; 
"134 - Pracownik produkcji w zakładzie drobiarskim"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-20"; 
"134 - Sortowacz - pracownik gospodarczy"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE ""RADKOM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"135 - Fizjoterapeuta"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"135 - Fryzjer damsko -męski"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "ZAKŁAD FRYZJERSKO-KOSMETYCZNY MAŁGORZATA ŚWIERCZYŃSKA"; "2025-01-14"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "Bednarska Bogusława"; "2025-01-31"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Studio fryzur EFEKT Emilia Śledź"; "2025-02-07"; 
"135 - Kierownik produkcji w zakładzie drobiarskim"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-17"; 
"135 - kosmetolog"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-30"; 
"135 - Kucharz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-29"; 
"135 - Kucharz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-06"; 
"135 - Młodszy specjalista ds. jakości i technologii"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-20"; 
"135 - pomoc kuchenna"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-29"; 
"135 - Rzeźnik-wędliniarz"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "ELMAS KRZYŻANOWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"135 - Technik dentystyczny"; "Radom, mazowieckie"; "Nie dotyczy"; "BELLAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"135 -Pizzer"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"136 - Fakturzysta / obsługa klienta"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "APETYT Stanisław Wójcik"; "2025-02-03"; 
"136 - Księgowa"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-29"; 
"136 - Księgowa/y"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "REGIONALNE CENTRUM KRWIODAWSTWA I KRWIOLECZNICTWA IM.DR KONRADA VIETHA W RADOMIU"; "2025-01-29"; 
"136 - Młodszy Asystent rodziny"; "Jedlińsk, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-06"; 
"136 - Opiekun świetlicy / pracownik biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"136 - Pracownik administracyjno biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"136 - Pracownik Administracyjny w Dziale Realizacji Zamówień"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-27"; 
"136 - pracownik biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"136 - Pracownik biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"136 - Pracownik obsługi klienta"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"136 - Psycholog"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""GĄSKA BALBINKA""- KRAINA ZABAW Wiesława Sławińska"; "2025-01-13"; 
"136 - Referent stażysta"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-14"; 
"136 - Specjalista ds. członkowsko - organizacyjnych"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-28"; 
"136 - Specjalista ds. zrównoważonego rozwoju i ESG"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"136 - Stażysta"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-27"; 
"578i - specjalista"; "Świdnica, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "GEOTECH EWA TWARDYSKO"; "2024-12-03"; 
"962990"; "Jawczyce, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRACAINFO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Accountant/ Księgowa"; "Śrem, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-04"; 
"Adiunkt w Zakladzie Betonu Instytutu Badawczego Dróg i Mostów K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Instytut badawczy dróg i mostów"; "2025-02-07"; 
"administrator"; "Piaseczno, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "MŁODZIEŻOWA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""PATRONAT-3"" W PIASECZNIE"; "2025-01-21"; 
"Administrator"; "Gdynia, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Młodzieżowa Spółdzielnia Mieszkaniowa"; "2025-01-29"; 
"Administrator -gospodarz budynku. "; "Sulęcin, lubuskie"; "Umowa o pracę na okres próbny"; "JABOT SPÓŁKA Z O. O."; "2025-01-16"; 
"Administrator bezpieczeństwa informacji"; "Płock, mazowieckie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy Mazowsze w Płocku"; "2025-01-28"; 
"administrator ds. technicznych (UmDop/23/0015)"; "Tczew, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"administrator nieruchomości"; "Biała Podlaska, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"administrator nieruchomości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Administrator nieruchomości"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "TPS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-01-22"; 
"Administrator nieruchomości"; "Giżycko, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Administrator nieruchomości"; "Lubin, dolnośląskie"; "Umowa o pracę na okres próbny"; """CENTRUM ZARZĄDZANIA NIERUCHOMOŚCIAMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"Administrator Nieruchomości Spółdzielni Mieszkaniowej Diament w Piekarach Śląskich"; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "Spółdzielnia Mieszkaniowa ""Diament"""; "2025-02-04"; 
"Administrator Nieruchomości/ Zarządca Nieruchomości"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "PREMIO ZARZĄDZANIE NIERUCHOMOŚCIAMI S.C"; "2025-01-30"; 
"Administrator sieci komputerowej"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "DOLNOŚLĄSKI ZESPÓŁ PARKÓW KRAJOBRAZOWYCH"; "2025-01-29"; 
"Administrator systemów komputerowych"; "Żnin, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "VAPE RIDE spółka z ograniczoną odpowiedzialnością spółka komandytowa"; "2025-01-27"; 
"Administrator systemów komputerowych"; "San Ġiljan, Malta"; "Umowa o pracę na czas nieokreślony"; "kontakt przez OHP"; "2025-01-29"; 
"Administrator systemu informatycznego"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na czas określony"; "PROKURATURA OKRĘGOWA W PIOTRKOWIE TRYB."; "2025-01-24"; 
"Administrator w dziale kadr i plac"; "Pyrzyce, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Anna Klimas - people&pay.ie"; "2024-06-07"; 
"Administrator wspólnot mieszkaniowych"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-31"; 
"Agent celny"; "Łomża, podlaskie"; "Umowa o pracę na okres próbny"; "AGENCJA CELNA Grzegorz Depczyński"; "2025-01-10"; 
"Agent celny"; "Chełm, lubelskie"; "Umowa o pracę na czas nieokreślony"; "AGRO ANTONIKO PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Agent ds. operacyjnych"; "Nowa Wieś Wrocławska, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INTERKADRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Agent nieruchomości"; "Ostróda, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Agent obsługi klienta w Grecji"; "Stockholm , Szwecja"; "Umowa o pracę na czas określony"; "Lansera AB/Work International "; "2024-11-08"; 
"Agent obsługi płytowej"; "Balice, małopolskie"; "Umowa o pracę na okres próbny"; "AVIATION SUPPORT POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"Agent ochrony/ konwojent R32/2895-1552/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BIURO BEZPIECZEŃSTWA SNAJPER DARIUSZ ZIELIŃSKI - PIOTR ROGOWSKI S.C."; "2024-12-19"; 
"Agent ubezpieczeniowy"; "Susz, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo MARPIT Piotr Wójcik"; "2025-01-20"; 
"Agent ubezpieczeniowy"; "Ostrowiec Świętokrzyski, świętokrzyskie"; "Umowa o pracę na czas określony"; "TABAKA Joanna Giemza"; "2025-02-03"; 
"Agent ubezpieczeniowy"; "Łódź, łódzkie"; "Umowa o pracę na czas nieokreślony"; "Grupa Finansowa Extender sp. z o.o."; "2025-02-04"; 
"Agent ubezpieczeniowy"; "Ostrzeszów, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
